word,part_of_speech,meaning,example
trầm bổng,tính từ,"(âm thanh) lúc trầm lúc bổng, nghe êm tai: tiếng đàn trầm bổng * âm thanh trầm bổng du dương",tiếng đàn trầm bổng * âm thanh trầm bổng du dương
trâm anh,danh từ,"(cũ, văn chương) trâm cài đầu và dải mũ; dùng để chỉ dòng dõi quyền quý, cao sang trong xã hội phong kiến: dòng dõi trâm anh",dòng dõi trâm anh
trầm cảm,,"(trạng thái tinh thần) bi quan, phiền muộn, luôn cảm thấy mệt mỏi và tuyệt vọng: mắc chứng trầm cảm",mắc chứng trầm cảm
trầm hùng,tính từ,"vừa tha thiết vừa mạnh mẽ, làm thôi thúc lòng người: bài thơ có giai điệu trầm hùng",bài thơ có giai điệu trầm hùng
trầm kha,tính từ,"(bệnh) nghiêm trọng kéo dài, khó chữa; thường dùng để ví tình trạng không hay trầm trọng và kéo dài, khó giải quyết: mắc bệnh trầm kha * tham nhũng đã trở thành căn bệnh trầm kha",mắc bệnh trầm kha * tham nhũng đã trở thành căn bệnh trầm kha
trầm hương,danh từ,"cây to, lá dài, gỗ màu vàng nhạt có xen những thớ màu đen, dùng để đốt lấy hương thơm và làm thuốc: đốt trầm hương * gỗ trầm hương",đốt trầm hương * gỗ trầm hương
trầm lắng,tính từ,"lắng đọng lại, đi vào chiều sâu tâm hồn: giọng thơ trầm lắng * giai điệu trầm lắng",giọng thơ trầm lắng * giai điệu trầm lắng
trầm luân,động từ,"chìm đắm trong bể khổ, theo quan niệm của đạo Phật: kiếp trầm luân",kiếp trầm luân
trầm tĩnh,tính từ,"tỏ ra trầm lặng và bình tĩnh, không để cho có những biến đổi đột ngột, không bối rối, nóng nảy: tính trầm tĩnh, ít nói","tính trầm tĩnh, ít nói"
trầm mặc,tính từ,"có dáng vẻ đang tập trung suy tư, ngẫm nghĩ điều gì: ngồi trầm mặc suy nghĩ * vẻ mặt trầm mặc",ngồi trầm mặc suy nghĩ * vẻ mặt trầm mặc
trầm mặc,tính từ,"(văn chương) im lìm, gợi cảm giác thâm nghiêm, sâu lắng: cảnh chùa trang nghiêm trầm mặc",cảnh chùa trang nghiêm trầm mặc
trầm lặng,tính từ,"lặng lẽ, ít hoạt động, không có biểu hiện sôi nổi bên ngoài: tính trầm lặng, ít nói, ít cười * cuộc sống trầm lặng","tính trầm lặng, ít nói, ít cười * cuộc sống trầm lặng"
trẫm mình,động từ,(cũ) gieo mình xuống nước để tự tử: nhảy xuống sông trẫm mình,nhảy xuống sông trẫm mình
trầm ngâm,tính từ,"có dáng vẻ đang suy nghĩ, nghiền ngẫm điều gì: nét mặt trầm ngâm * trầm ngâm suy nghĩ",nét mặt trầm ngâm * trầm ngâm suy nghĩ
trầm tích,danh từ,"chất do các vật thể trong nước sông, hồ, biển lắng đọng lâu ngày kết lại mà thành: bùn trầm tích * lớp trầm tích dưới đáy biển",bùn trầm tích * lớp trầm tích dưới đáy biển
trậm trầy trậm trật,tính từ,(khẩu ngữ) như trầy trật (nhưng ý nhấn mạnh hơn): công việc trậm trầy trậm trật,công việc trậm trầy trậm trật
trầm trồ,động từ,"thốt ra lời khen ngợi với vẻ ngạc nhiên, thán phục: trầm trồ khen ngợi",trầm trồ khen ngợi
trầm trọng,tính từ,"ở tình trạng nghiêm trọng, có thể dẫn tới hậu quả hết sức tai hại: những sai phạm trầm trọng * bệnh tình ngày càng trầm trọng",những sai phạm trầm trọng * bệnh tình ngày càng trầm trọng
trầm uất,,buồn u uất trong lòng: mắc chứng trầm uất * bị trầm uất,mắc chứng trầm uất * bị trầm uất
trầm tư,,có dáng vẻ đang hết sức tập trung suy nghĩ điều gì: ngồi trầm tư suy nghĩ * nét mặt trầm tư,ngồi trầm tư suy nghĩ * nét mặt trầm tư
trận,danh từ,cuộc chiến đấu diễn ra trong một thời gian và ở một khu vực nhất định: trận phục kích * xông trận,trận phục kích * xông trận
trận,danh từ,cuộc thi đấu có sự tranh giành được thua: trận bóng đá * thắng liên tiếp mấy trận liền,trận bóng đá * thắng liên tiếp mấy trận liền
trận,danh từ,"lần, đợt diễn ra mạnh mẽ, dữ dội của một hiện tượng tự nhiên, xã hội hoặc sinh lí, tâm lí nào đó (thường là không hay) trong một thời gian nhất định: trận cuồng phong * trận đói * mắng cho một trận",trận cuồng phong * trận đói * mắng cho một trận
trấn,động từ,"ở trụ tại nơi nào đó, thường để ngăn giữ, bảo vệ: hai chiếc xe tăng trấn ở hai đầu cầu * đứng trấn ngay cửa, không cho ai vào","hai chiếc xe tăng trấn ở hai đầu cầu * đứng trấn ngay cửa, không cho ai vào"
trấn,động từ,"ngăn chặn bằng phù phép không cho ma quỷ đến làm hại, theo tín ngưỡng dân gian: bùa trấn quỷ * làm phép trấn tà",bùa trấn quỷ * làm phép trấn tà
trấn,động từ,(Phương ngữ) dìm xuống nước cho bị ngạt: trấn nước cho chết ngạt,trấn nước cho chết ngạt
trấn,động từ,(Khẩu ngữ) trấn lột (nói tắt): bị lưu manh trấn hết tiền,bị lưu manh trấn hết tiền
trần,danh từ,mặt phẳng nằm ngang giới hạn phía trên cùng của gian phòng hoặc toa xe: đầu chạm vào trần xe * ngó trân trân lên trần nhà,đầu chạm vào trần xe * ngó trân trân lên trần nhà
trần,danh từ,"cõi đời, thế giới mà con người sinh sống: tiên giáng trần * lìa trần (chết) * người trần * trần sao âm vậy",tiên giáng trần * lìa trần (chết) * người trần * trần sao âm vậy
trần,tính từ,ở trạng thái để lộ nửa phần trên của thân thể: mình trần trùng trục * cởi trần * tấm lưng trần,mình trần trùng trục * cởi trần * tấm lưng trần
trần,tính từ,"ở trạng thái không được che, bọc, để lộ cả ra: để đầu trần đi giữa trời nắng * lưỡi lê tuốt trần",để đầu trần đi giữa trời nắng * lưỡi lê tuốt trần
trần,tính từ,"(cái xấu xa) ở trạng thái không còn được che đậy nữa mà để lộ rõ nguyên hình, chân tướng: lột trần mặt nạ * phơi trần bộ mặt xấu xa",lột trần mặt nạ * phơi trần bộ mặt xấu xa
trần,tính từ,"ở trạng thái không có cái thường đi kèm theo, mà chỉ độc có như thế mà thôi: cưỡi ngựa trần (không có yên) * nằm ngủ trần, không cần màn","cưỡi ngựa trần (không có yên) * nằm ngủ trần, không cần màn"
trần,phụ từ,"chỉ độc như thế mà thôi, không còn gì khác nữa: trong nhà có trần bộ bàn ghế * trên người chỉ trần chiếc quần cộc",trong nhà có trần bộ bàn ghế * trên người chỉ trần chiếc quần cộc
trân,tính từ,"ngây ra, không thấy có một cử động, một phản ứng gì cả: mặt trân ra, không hiểu gì * đứng chết trân tại chỗ * mắt mở trân trân","mặt trân ra, không hiểu gì * đứng chết trân tại chỗ * mắt mở trân trân"
trân,tính từ,"(Khẩu ngữ) trơ ra, không biết xấu hổ: mắng tới thế mà mặt vẫn trân ra * trân trân ra cười",mắng tới thế mà mặt vẫn trân ra * trân trân ra cười
trấn an,động từ,"làm cho yên lòng, hết hoang mang lo sợ: trấn an dư luận * trấn an tinh thần * tự trấn an mình",trấn an dư luận * trấn an tinh thần * tự trấn an mình
trần ai,danh từ,"(cũ, văn chương) cõi đời vất vả gian truân: địa ngục trần ai * thoát vòng trần ai",địa ngục trần ai * thoát vòng trần ai
trần ai,tính từ,"(khẩu ngữ) vất vả, khổ sở: cuộc sống cũng trần ai lắm",cuộc sống cũng trần ai lắm
trân châu,danh từ,ngọc trai quý: chuỗi hạt trân châu * viên ngọc trân châu,chuỗi hạt trân châu * viên ngọc trân châu
trấn áp,động từ,dẹp sự chống đối bằng cách dùng lực hoặc uy quyền (thường nói về hành động chính đáng): trấn áp tội phạm * trấn áp cuộc bạo loạn,trấn áp tội phạm * trấn áp cuộc bạo loạn
trấn áp,động từ,"(hiếm) nén xuống, dẹp đi những xúc cảm của nội tâm bằng sự tự chủ của bản thân: cất tiếng hát để trấn áp nỗi sợ",cất tiếng hát để trấn áp nỗi sợ
trấn át,động từ,(hiếm) át đi để ngăn chặn không cho hoạt động: trấn át ý kiến của mọi người,trấn át ý kiến của mọi người
trần duyên,danh từ,"những điều ràng buộc, gắn bó con người vào cõi đời trần tục, theo quan niệm của đạo Phật (nói khái quát): nợ trần duyên * ""Cho hay giọt nước cành dương, Lửa lòng tưới tắt mọi đường trần duyên."" (TKiều)","nợ trần duyên * ""Cho hay giọt nước cành dương, Lửa lòng tưới tắt mọi đường trần duyên."" (TKiều)"
trận đồ,danh từ,bản đồ về thế trận của các bên tham chiến: quan sát trận đồ của giặc,quan sát trận đồ của giặc
trận địa,danh từ,khu vực địa hình dùng để bố trí lực lượng chiến đấu: trận địa pháo * trận địa tên lửa,trận địa pháo * trận địa tên lửa
trần đời,danh từ,"(khẩu ngữ) cõi đời, trên đời (nói khái quát; thường dùng để nhấn mạnh ý khẳng định về một mức độ tuyệt đối nào đó): ngon nhất trần đời * khổ trần đời * trần đời chưa thấy ai đoảng như thế!",ngon nhất trần đời * khổ trần đời * trần đời chưa thấy ai đoảng như thế!
trần gian,danh từ,thế giới của con người trên mặt đất: còn nặng nợ trần gian,còn nặng nợ trần gian
trần giới,danh từ,"(cũ, hiếm) như trần gian: người trần giới",người trần giới
trấn giữ,động từ,"bảo vệ nơi xung yếu, chống mọi sự xâm chiếm, xâm nhập: quân lính trấn giữ hai đầu cầu",quân lính trấn giữ hai đầu cầu
trấn lột,động từ,"(khẩu ngữ) đe doạ trực tiếp, làm cho khiếp sợ để cướp của: bọn trấn lột * bị trấn lột hết tiền bạc",bọn trấn lột * bị trấn lột hết tiền bạc
trấn ngự,động từ,(hiếm) chặn lại không cho gây tác hại: trấn ngự dòng sông,trấn ngự dòng sông
trấn thủ,động từ,(cũ) như trấn giữ: trấn thủ nơi xung yếu,trấn thủ nơi xung yếu
trần thế,danh từ,như trần gian: cuộc sống nơi trần thế,cuộc sống nơi trần thế
trận mạc,danh từ,nơi diễn ra các cuộc chiến đấu (nói khái quát); cũng dùng để nói chung về việc đánh trận: xông pha nơi trận mạc,xông pha nơi trận mạc
trần thuật,động từ,"kể lại, thuật lại một câu chuyện hoặc sự việc với các chi tiết và diễn biến của nó: văn trần thuật",văn trần thuật
trận tiền,danh từ,"(cũ, hiếm) mặt trận, nơi đang diễn ra các cuộc chiến đấu: hi sinh nơi trận tiền",hi sinh nơi trận tiền
trấn tĩnh,động từ,lấy lại bình tĩnh hoặc giữ cho khỏi mất bình tĩnh: lúng túng nhưng trấn tĩnh được ngay * sợ nhưng vẫn cố trấn tĩnh,lúng túng nhưng trấn tĩnh được ngay * sợ nhưng vẫn cố trấn tĩnh
trân trối,tính từ,"(khẩu ngữ) (nhìn) thẳng và lâu, không chớp mắt: nhìn trân trối",nhìn trân trối
trần trụi,tính từ,"(thân thể hoặc bộ phận thân thể) ở trạng thái phơi bày ra tất cả, không được che đậy gì: tấm lưng trần trụi",tấm lưng trần trụi
trân trọng,động từ,"tỏ ý quý, coi trọng: trân trọng kỉ vật của tổ tiên * xin trân trọng cảm ơn!",trân trọng kỉ vật của tổ tiên * xin trân trọng cảm ơn!
trần tình,động từ,(cũ) trình bày với bề trên việc riêng hoặc ý kiến riêng của mình: dâng biểu trần tình,dâng biểu trần tình
trần truồng,tính từ,"hoàn toàn không mặc quần áo, để lộ toàn thân thể: thân thể trần truồng",thân thể trần truồng
trần tục,danh từ,"(văn chương, hiếm) cõi đời trên mặt đất, cõi trần: người trần tục * thoát vòng trần tục",người trần tục * thoát vòng trần tục
trần tục,tính từ,"thuộc về cuộc sống trên cõi trần, coi là vật chất, tầm thường, không có gì thanh cao: những ham muốn trần tục * thoát vòng trần tục",những ham muốn trần tục * thoát vòng trần tục
trần trùi trụi,tính từ,"trần trụi hoàn toàn, không được che đậy, che phủ gì cả: mình trần trùi trụi",mình trần trùi trụi
trập trùng,tính từ,tiếp liền nhau hết lớp này đến lớp khác thành dãy dài và cao thấp không đều: đồi núi trập trùng,đồi núi trập trùng
trật,động từ,"(khẩu ngữ) lật ngược để bỏ ra đồ đang đội, đang mặc, bằng một động tác đột ngột: trật nón ra sau * trật vai áo cho xem vết sẹo",trật nón ra sau * trật vai áo cho xem vết sẹo
trật,tính từ,(phương ngữ) trơ: mọi người đi hết còn trật lại một mình,mọi người đi hết còn trật lại một mình
trật,động từ,"ra ngoài vị trí, không còn khớp vào vị trí vốn có với một vật khác: tàu bị trật bánh * ngã trật khớp",tàu bị trật bánh * ngã trật khớp
trật,tính từ,"(phương ngữ) không đúng, không trúng: làm trật bài toán * bắn trật mục tiêu",làm trật bài toán * bắn trật mục tiêu
trận tuyến,danh từ,"hệ thống bố trí lực lượng chiến đấu, có phân rõ ranh giới giữa hai bên giao chiến: chọc thủng trận tuyến * phía bên kia trận tuyến",chọc thủng trận tuyến * phía bên kia trận tuyến
trận tuyến,danh từ,tổ chức rộng rãi tập hợp những lực lượng cùng đấu tranh cho một mục đích chung: thành lập trận tuyến phòng chống tội phạm,thành lập trận tuyến phòng chống tội phạm
trật tự,danh từ,"sự sắp xếp theo một thứ tự, một quy tắc nhất định: bàn ghế kê có trật tự * trật tự từ trong câu",bàn ghế kê có trật tự * trật tự từ trong câu
trật tự,danh từ,"tình trạng ổn định, có tổ chức, có kỉ luật: giữ trật tự trị an * nói chuyện làm mất trật tự trong lớp",giữ trật tự trị an * nói chuyện làm mất trật tự trong lớp
trật tự,tính từ,"có trật tự, ổn định, không ồn ào: cả lớp trật tự nghe cô giáo giảng bài",cả lớp trật tự nghe cô giáo giảng bài
trấu,danh từ,lớp vỏ cứng đã tách ra của hạt thóc: bếp đun trấu,bếp đun trấu
trật lất,tính từ,"(phương ngữ, khẩu ngữ) trật hết, không đúng, không trúng chỗ nào: đoán trật lất hết trơn",đoán trật lất hết trơn
trâng tráo,tính từ,"ngang ngược, xấc láo, tỏ ra trơ trơ trước sự chê cười, khinh bỉ của người khác: bộ mặt trâng tráo",bộ mặt trâng tráo
trẩu,danh từ,"cây cùng họ với thầu dầu, hoa đơn tính, màu trắng, quả phía ngoài có nhiều gân nổi, hạt cho dầu dùng để chế sơn: dầu trẩu",dầu trẩu
trầu,danh từ,trầu không (nói tắt): lá trầu * giàn trầu,lá trầu * giàn trầu
trầu,danh từ,"lá trầu đã têm, dùng để nhai cùng với cau cho thơm miệng, đỏ môi: ăn trầu * nước cốt trầu * miếng trầu là đầu câu chuyện (tng)",ăn trầu * nước cốt trầu * miếng trầu là đầu câu chuyện (tng)
trâu,danh từ,"động vật nhai lại, sừng rỗng và cong, lông thưa và thường đen, ưa đầm nước, nuôi để lấy sức kéo, ăn thịt hay lấy sữa: chăn trâu * yếu trâu còn hơn khoẻ bò (tng)",chăn trâu * yếu trâu còn hơn khoẻ bò (tng)
trây,động từ,"(khẩu ngữ) ì ra, cố tình không làm cái việc biết là lẽ ra phải làm, mặc dù có ý kiến yêu cầu hoặc phản đối của người khác: trây nợ * nói mãi mà vẫn trây ra, không nhúc nhích","trây nợ * nói mãi mà vẫn trây ra, không nhúc nhích"
trây,động từ,(phương ngữ) bôi: trây bùn lên mặt * tay bẩn mà trây vô áo,trây bùn lên mặt * tay bẩn mà trây vô áo
trẩy,động từ,đi đến nơi xa (thường nói về một số đông người): trẩy hội * dòng người trẩy về kinh,trẩy hội * dòng người trẩy về kinh
trẩy,động từ,"hái, thu hái (thường là quả): trẩy ổi * trẩy đậu",trẩy ổi * trẩy đậu
trầu không,danh từ,"cây leo, thường trồng thành giàn, lá hình tim, có mùi hăng, thường dùng để ăn trầu: giàn trầu không",giàn trầu không
trâu ngựa,danh từ,"trâu và ngựa (nói khái quát); dùng để ví kiếp tôi đòi phải đem thân làm việc nặng nhọc để phục vụ người khác và phải chịu cảnh sống vất vả, đoạ đày: kiếp trâu ngựa * ""Tái sinh chưa dứt hương thề, Làm thân trâu ngựa đền nghì trúc mai."" (TKiều)","kiếp trâu ngựa * ""Tái sinh chưa dứt hương thề, Làm thân trâu ngựa đền nghì trúc mai."" (TKiều)"
trẩy hội,động từ,đi dự ngày hội hằng năm (thường nói về một số đông người): trẩy hội chùa Hương * người đông như trẩy hội,trẩy hội chùa Hương * người đông như trẩy hội
trầy,,(phương ngữ) như sầy: ngã trầy da,ngã trầy da
trầy trật,tính từ,"vất vả, phải mất nhiều công sức và trải qua nhiều lần vấp váp, thất bại: trầy trật mãi mới làm xong",trầy trật mãi mới làm xong
trây ì,động từ,"trây ra một cách lì lợm, đáng ghét: trây ì không chịu trả nợ",trây ì không chịu trả nợ
trầy vi tróc vảy,,(khẩu ngữ) ví trường hợp phải chịu tổn thương mất mát hoặc phải hết sức khó nhọc cho một việc làm nào đó: làm trầy vi tróc vảy mà vẫn không đủ sống,làm trầy vi tróc vảy mà vẫn không đủ sống
trầy trụa,tính từ,(phương ngữ) sây sát: ngã trầy trụa cả tay chân,ngã trầy trụa cả tay chân
trầy xước,tính từ,"có vết trầy, vết xước trên bề mặt (nói khái quát): da tay bị trầy xước * mặt đĩa có nhiều vết trầy xước",da tay bị trầy xước * mặt đĩa có nhiều vết trầy xước
tre,danh từ,"cây thân cứng, rỗng ở các gióng, đặc ở mấu, mọc thành bụi, thường dùng để làm nhà và đan lát: luỹ tre * tre già măng mọc (tng)",luỹ tre * tre già măng mọc (tng)
trẻ,tính từ,"ở vào thời kì còn ít tuổi, cơ thể đang phát triển mạnh, đang sung sức: thời trẻ * anh bạn trẻ * tuổi đời còn rất trẻ * trẻ cậy cha, già cậy con (tng)","thời trẻ * anh bạn trẻ * tuổi đời còn rất trẻ * trẻ cậy cha, già cậy con (tng)"
trẻ,tính từ,có vẻ ngoài trông có vẻ như ít tuổi hơn so với những người cùng độ tuổi hoặc so với những người khác: nhỏ người nên trẻ lâu * dạo này trông trẻ ra,nhỏ người nên trẻ lâu * dạo này trông trẻ ra
trẻ,tính từ,"còn mới, có thời gian tồn tại hoặc hoạt động chưa lâu như những cái, những người cùng loại: một ngành công nghiệp trẻ * cây bút trẻ * còn trẻ tuổi nghề",một ngành công nghiệp trẻ * cây bút trẻ * còn trẻ tuổi nghề
trẻ,danh từ,"đứa bé, đứa nhỏ (nói khái quát): trẻ sơ sinh * người trông trẻ * thỏ thẻ như trẻ lên ba (tng)",trẻ sơ sinh * người trông trẻ * thỏ thẻ như trẻ lên ba (tng)
trẻ em,danh từ,như trẻ con (nhưng dùng với ý thân mật): trẻ em khuyết tật * bảo vệ phụ nữ và trẻ em,trẻ em khuyết tật * bảo vệ phụ nữ và trẻ em
trẻ con,danh từ,những đứa trẻ (nói khái quát): bọn trẻ con trong xóm * trẻ con mất lòng người lớn (tng),bọn trẻ con trong xóm * trẻ con mất lòng người lớn (tng)
trẻ con,tính từ,có tính chất của trẻ con (thường hàm ý coi thường): chuyện trẻ con * trò trẻ con * tính còn trẻ con quá,chuyện trẻ con * trò trẻ con * tính còn trẻ con quá
trẻ con,tính từ,"(khẩu ngữ) tỏ ra tâm tình, thân thiết: chuyện trò rất tri kỉ",chuyện trò rất tri kỉ
trẻ hoá,động từ,"làm cho thành phần gồm có nhiều người trẻ hơn, để có được nhiều nhân tố tích cực hơn: trẻ hoá đội hình bóng đá * trẻ hoá đội ngũ cán bộ trong công ti",trẻ hoá đội hình bóng đá * trẻ hoá đội ngũ cán bộ trong công ti
trẻ mỏ,,(khẩu ngữ) như trẻ con: trông nom trẻ mỏ * lớn tướng rồi chứ còn trẻ mỏ gì nữa!,trông nom trẻ mỏ * lớn tướng rồi chứ còn trẻ mỏ gì nữa!
trẻ măng,tính từ,"rất trẻ, chỉ vừa mới đến tuổi trưởng thành: gương mặt trẻ măng * một chiến sĩ trẻ măng",gương mặt trẻ măng * một chiến sĩ trẻ măng
trẻ nít,danh từ,"(phương ngữ, khẩu ngữ) trẻ nhỏ: bầy trẻ nít trong xóm",bầy trẻ nít trong xóm
trẻ ranh,danh từ,"(khẩu ngữ) trẻ con, không đáng coi ra gì: đồ trẻ ranh! * ""Lại còn bưng bít giấu quanh, Làm chi những thói trẻ ranh nực cười!"" (TKiều)","đồ trẻ ranh! * ""Lại còn bưng bít giấu quanh, Làm chi những thói trẻ ranh nực cười!"" (TKiều)"
trẻ trai,,(cũ) như trai trẻ: thời trẻ trai,thời trẻ trai
trẻ thơ,,"như trẻ con (nhưng hàm ý còn dại, còn ngây thơ): nụ cười trẻ thơ * gương mặt trẻ thơ",nụ cười trẻ thơ * gương mặt trẻ thơ
tre trẻ,tính từ,"(khẩu ngữ) hơi trẻ, khá trẻ: một cô gái tre trẻ",một cô gái tre trẻ
trẻ trung,tính từ,"trẻ hoặc tỏ ra trẻ, có những biểu hiện của tuổi trẻ: gương mặt trẻ trung * tâm hồn trẻ trung",gương mặt trẻ trung * tâm hồn trẻ trung
trẽn,tính từ,"(phương ngữ) ngượng, xấu hổ: cười cho đỡ trẽn",cười cho đỡ trẽn
treo,động từ,"làm cho được giữ chặt vào một điểm ở trên cao, và để cho buông thõng xuống: treo đèn lồng * treo cờ tổ quốc * nghìn cân treo sợi tóc (tng)",treo đèn lồng * treo cờ tổ quốc * nghìn cân treo sợi tóc (tng)
treo,động từ,"làm cho được cố định hoàn toàn ở một vị trí trên cao, dựa vào một vật khác: tường treo nhiều tranh quý * treo biển quảng cáo",tường treo nhiều tranh quý * treo biển quảng cáo
treo,động từ,nêu giải thưởng: treo tiền thưởng cho người bắt được hung thủ,treo tiền thưởng cho người bắt được hung thủ
treo,động từ,"(khẩu ngữ) tạm gác, tạm đình lại trong một thời gian: bị treo bằng * trọng tài bị treo còi",bị treo bằng * trọng tài bị treo còi
treo,động từ,"(khẩu ngữ) (máy tính) ở vào trạng thái mất khả năng hoạt động, hoàn toàn không thể phản ứng lại được với bất kì tín hiệu nào được đưa vào từ bàn phím hoặc các thiết bị ngoại vi khác: máy tính nhiễm virus nên hay bị treo",máy tính nhiễm virus nên hay bị treo
trèo,động từ,"di chuyển thân thể lên cao bằng cử động kết hợp của tay níu, bám và chân đẩy, di chuyển từng nấc một trên một vật khác: trèo cây * trèo tường * ""Yêu nhau mấy núi cũng trèo, Mấy sông cũng lội mấy đèo cũng qua."" (ca dao)","trèo cây * trèo tường * ""Yêu nhau mấy núi cũng trèo, Mấy sông cũng lội mấy đèo cũng qua."" (ca dao)"
tréo,tính từ,"(chân, tay) ở tư thế cái nọ gác, vắt lên cái kia, thành hình những đường xiên cắt nhau: ngồi vắt tréo chân",ngồi vắt tréo chân
trẹo,tính từ,ở trạng thái bị trật khớp xương: trẹo chân * trẹo khớp * ngã trẹo đầu gối,trẹo chân * trẹo khớp * ngã trẹo đầu gối
treo cổ,động từ,thắt cổ bằng cách tròng thòng lọng vào cổ và treo trên cao: treo cổ tự tử * bước lên giá treo cổ,treo cổ tự tử * bước lên giá treo cổ
tréo giò,tính từ,"(khẩu ngữ) ở trong tình trạng hoàn toàn không ăn khớp, trái ngược nhau một cách không hợp lí trong công việc: bố trí công tác tréo giò nên rất khó làm",bố trí công tác tréo giò nên rất khó làm
treo giò,động từ,"đình chỉ, không cho cầu thủ tham gia thi đấu, một hình thức kỉ luật, thường dùng trong bóng đá: cầu thủ bị treo giò hai trận",cầu thủ bị treo giò hai trận
tréo khoeo,tính từ,"từ gợi tả kiểu ngồi, nằm ở tư thế hai chân gấp lại, chân nọ vắt lên chân kia: nằm tréo khoeo",nằm tréo khoeo
tréo mảy,tính từ,(phương ngữ) như tréo khoeo: ngồi tréo mảy,ngồi tréo mảy
treo mõm,động từ,"(thông tục) nhịn đói, không có gì mà ăn: không chịu lao động thì chỉ có treo mõm",không chịu lao động thì chỉ có treo mõm
treo niêu,động từ,"(khẩu ngữ) lâm vào cảnh phải nhịn đói, ăn đói: nếu mất mùa là treo niêu",nếu mất mùa là treo niêu
trèo trẹo,tính từ,"từ mô phỏng tiếng của hai vật cứng nghiến, xiết mạnh vào nhau: nghiến răng trèo trẹo",nghiến răng trèo trẹo
tréo ngoe,tính từ,"(phương ngữ, hoặc kng) rất trái khoáy, oái oăm: tình thế tréo ngoe",tình thế tréo ngoe
trễ,động từ,"bị sa xuống, tụt xuống thấp hơn vị trí bình thường: mặc quần trễ rốn * cặp kính trắng trễ xuống sống mũi",mặc quần trễ rốn * cặp kính trắng trễ xuống sống mũi
trễ,tính từ,"(Nam) chậm, muộn: đến trễ nửa giờ * bận họp nên về trễ",đến trễ nửa giờ * bận họp nên về trễ
trẹt,tính từ,(phương ngữ) nông lòng hoặc đáy: đĩa trẹt lòng * chậu trẹt,đĩa trẹt lòng * chậu trẹt
trét,động từ,làm cho kín bằng cách nhét một chất dính vào chỗ hở và miết kĩ: trét thuyền * trét xi măng vào chỗ nứt,trét thuyền * trét xi măng vào chỗ nứt
trê,danh từ,"cá trê (nói tắt): con trắm, con trê","con trắm, con trê"
trệ,động từ,"(hiếm) như xệ: béo quá, má trệ xuống","béo quá, má trệ xuống"
trễ nải,tính từ,"tỏ ra thiếu hăng hái, thiếu cố gắng, ít để tâm tới, khiến công việc chậm trễ, ít kết quả: trễ nải việc học hành * trễ nải công việc",trễ nải việc học hành * trễ nải công việc
trề,động từ,chìa môi dưới ra: trề môi chê đắt,trề môi chê đắt
trên,danh từ,"phía những vị trí cao hơn trong không gian so với một vị trí xác định nào đó, hay so với các vị trí khác nói chung: máy bay bay trên đầu * trên trời dưới đất * đứng trên cao nhìn xuống",máy bay bay trên đầu * trên trời dưới đất * đứng trên cao nhìn xuống
trên,danh từ,"vùng địa lí cao hơn so với một vùng xác định nào đó, hay so với các vùng khác nói chung: lên phía mạn trên * trên rừng dưới biển",lên phía mạn trên * trên rừng dưới biển
trên,danh từ,"phía những vị trí ở trước một vị trí xác định nào đó, hay so với các vị trí khác nói chung, trong một trật tự sắp xếp nhất định: ngồi ở hàng ghế trên * như đã nói ở trên * làng trên xóm dưới",ngồi ở hàng ghế trên * như đã nói ở trên * làng trên xóm dưới
trên,danh từ,"phía những vị trí cao hơn so với một vị trí xác định nào đó, hay so với các vị trí khác nói chung, trong một hệ thống cấp bậc, thứ bậc: học sinh các lớp trên * vâng lời người trên",học sinh các lớp trên * vâng lời người trên
trên,danh từ,"mức cao hơn hay số lượng nhiều hơn một mức, một số lượng xác định nào đó: học lực trên trung bình * sản lượng đạt trên mười tấn",học lực trên trung bình * sản lượng đạt trên mười tấn
trên,kết từ,từ biểu thị điều sắp nêu ra là đích nhằm tới của một hoạt động theo hướng từ thấp đến cao: chạy lên trên đồi * mầm cây trồi lên trên mặt đất,chạy lên trên đồi * mầm cây trồi lên trên mặt đất
trên,kết từ,"từ biểu thị điều sắp nêu ra là vị trí của vật được nói đến ở sát bề mặt của một vật nào đó đỡ từ bên dưới, hay sát bề mặt ở phía có thể nhìn thấy rõ: sao trên trời * trên tường treo một bức tranh * vết sẹo trên trán",sao trên trời * trên tường treo một bức tranh * vết sẹo trên trán
trên,kết từ,"từ biểu thị điều sắp nêu ra là nơi diễn ra của hoạt động, sự việc được nói đến: gặp nhau trên đường đi công tác * nghe giảng trên lớp * phát biểu trên ti vi",gặp nhau trên đường đi công tác * nghe giảng trên lớp * phát biểu trên ti vi
trên,kết từ,"từ biểu thị điều sắp nêu ra là cơ sở quy định phạm vi, nội dung, tính chất của hoạt động, nhận thức, ý kiến được nói đến: làm việc trên cơ sở tự nguyện * bài thi đạt điểm 75 trên 100",làm việc trên cơ sở tự nguyện * bài thi đạt điểm 75 trên 100
trễ tràng,tính từ,(khẩu ngữ) trễ xuống một cách lỏng lẻo và tự nhiên: tóc búi trễ tràng,tóc búi trễ tràng
trễ tràng,tính từ,(hiếm) như trễ nải: trống canh trễ tràng,trống canh trễ tràng
trệch,tính từ,"trật ra ngoài, không khớp: xe lửa trệch bánh * viết trệch dòng",xe lửa trệch bánh * viết trệch dòng
trễ phép,động từ,"(khẩu ngữ) trả phép muộn, đi nghỉ phép về quá thời gian quy định: trễ phép vì bị nhỡ tàu",trễ phép vì bị nhỡ tàu
